,time,success,image_names,image_resolution
0,1.6612110137939453,1,"('1.jpg', '2.jpg')",3024
1,0.29422712326049805,0,"('2.jpg', '3.jpg')",3024
2,0.3161797523498535,0,"('2.jpg', '4.jpg')",3024
3,0.2853114604949951,0,"('2.jpg', '5.jpg')",3024
4,0.29235100746154785,0,"('2.jpg', '6.jpg')",3024
5,0.3146789073944092,0,"('2.jpg', '7.jpg')",3024
6,0.2905733585357666,0,"('2.jpg', '8.jpg')",3024
7,0.3004944324493408,0,"('2.jpg', '9.jpg')",3024
8,0.29942893981933594,0,"('2.jpg', '10.jpg')",3024
9,0.3005490303039551,0,"('2.jpg', '11.jpg')",3024
10,0.3077273368835449,0,"('2.jpg', '12.jpg')",3024
11,0.29807567596435547,0,"('2.jpg', '13.jpg')",3024
12,0.3130979537963867,0,"('2.jpg', '14.jpg')",3024
13,0.3349130153656006,0,"('2.jpg', '15.jpg')",3024
14,0.34482669830322266,0,"('2.jpg', '16.jpg')",3024
15,0.2921760082244873,0,"('2.jpg', '17.jpg')",3024
16,0.2975640296936035,0,"('2.jpg', '18.jpg')",3024
